srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,460,491,27,5,1086,Leader
2,Chief,IN,10,0,1,0,11,Elder
3,Ballistaaa,IN,151,224,7,5,410,Elder
4,emnil007,IN,185,247,22,8,608,Co-leader
5,Eleiken,IN,318,308,18,1,644,Co-leader
6,LordHoodAs,IN,91,166,2,0,259,Elder
7,arggggggah,IN,5,450,11,0,466,Elder
8,GOD OF UNDEAD,IN,4,203,2,0,209,Elder
9,devil recite,IN,58,220,10,0,288,Elder
10,Noob3,IN,0,0,4,0,4,Elder
11,Yash,IN,5,364,8,0,377,Elder
12,lolilabo,IN,53,124,3,0,180,Elder
13,Joyotri,IN,77,251,10,5,378,Elder
14,kking,IN,152,244,6,3,414,Elder
15,jenoslegod,IN,37,5,1,0,43,Elder
16,MASTER SARVESH,IN,51,61,9,0,121,Elder
17,arshul,IN,47,237,3,0,287,Elder
18,kindstonge17,OUT,55,324,17,11,566,Elder
19,manna_1_2,IN,19,1,2,0,22,Elder
20,jonpai,OUT,79,167,5,5,271,Elder
21,Dewan,IN,1,1,1,1,3,Elder
22,gautam,IN,54,64,7,3,139,Elder
23,weeb commander,OUT,0,30,4,3,42,Elder
24,raful,IN,56,102,3,0,161,Elder
25,Gówthâm Røñáldò,IN,18,40,0,0,58,Elder
26,Flix-Flop,IN,24,82,2,0,108,Elder
27,Nayan,IN,1,54,2,1,57,Elder
28,*..flow..*,IN,3,54,3,0,60,Elder
29,AllNaMundy,OUT,35,102,5,3,152,Elder
30,Bennie,IN,22,89,1,0,112,Elder
31,2ndprototype,IN,9,64,3,0,76,Elder
32,Rider_22,IN,33,95,3,2,134,Elder
33,may thae,IN,4,24,1,1,29,Elder
34,Born to be King,IN,64,108,4,4,188,Elder
