srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,734,895,43,8,1680,Leader
2,Chief,IN,10,0,7,0,17,Elder
3,emnil007,IN,193,259,22,8,482,Co-leader
4,Eleiken,IN,430,500,27,3,960,Co-leader
5,arggggggah,IN,5,626,11,0,642,Elder
6,Noob3,IN,0,0,4,0,4,Elder
7,Yash,IN,5,497,8,0,510,Elder
8,kking,IN,152,250,6,3,411,Elder
9,kindstonge17,IN,256,672,32,20,980,Elder
10,Dewan,IN,19,5,12,3,39,Elder
11,gautam,IN,62,159,12,4,237,Elder
12,raful,IN,75,127,3,0,205,Elder
13,Rider_22,IN,188,369,17,8,582,Co-leader
14,Grandpa1,IN,242,399,16,16,673,Elder
15,mare,IN,37,60,2,0,99,Elder
16,JIREN,IN,66,182,8,2,258,Elder
17,Joyotri,IN,238,606,22,13,879,Co-leader
18,Rafael,IN,82,123,7,6,218,Elder
19,GOD OF UNDEAD,IN,6,281,5,0,292,Elder
20,T-REX,IN,11,75,6,2,94,Elder
21,flameboy5050,IN,58,84,5,0,147,Elder
22,You,IN,33,39,6,1,79,Elder
23,Prachit123,IN,67,8,1,0,76,Elder
24,COPY_KAKASHI,IN,36,117,3,2,158,Elder
25,™KingShid™^^,OUT,4,53,3,1,61,Elder
