srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,396,389,23,5,900,Leader
2,Chief,IN,10,0,1,0,11,Elder
3,Ballistaaa,IN,144,218,7,5,397,Elder
4,emnil007,IN,178,229,21,8,575,Co-leader
5,Eleiken,IN,300,284,17,1,601,Co-leader
6,LordHoodAs,IN,82,141,2,0,225,Elder
7,arggggggah,IN,5,360,10,0,375,Elder
8,GOD OF UNDEAD,IN,4,173,2,0,179,Elder
9,devil recite,IN,58,220,10,0,288,Elder
10,Noob3,IN,0,0,4,0,4,Elder
11,Yash,IN,5,280,8,0,293,Elder
12,lolilabo,IN,53,124,3,0,180,Elder
13,VSL_SMIT...√,OUT,36,164,5,4,220,Elder
14,Joyotri,IN,52,195,7,3,268,Elder
15,kking,IN,139,238,6,3,395,Elder
16,jenoslegod,IN,37,5,1,0,43,Elder
17,carlitos,IN,34,0,0,0,34,Elder
18,MASTER SARVESH,IN,51,55,8,0,114,Elder
19,MrSwaxs,IN,0,15,0,0,15,Elder
20,arshul,IN,47,237,3,0,287,Elder
21,Raj,IN,1,77,3,2,84,Elder
22,kindstonge17,OUT,39,221,13,7,351,Elder
23,Rajibl,IN,32,65,0,0,97,Elder
24,ark316,IN,7,75,3,0,85,Elder
25,phil_mcraken,IN,5,54,0,0,59,Elder
26,™KingShid™^^,OUT,0,12,0,0,12,Elder
27,ROMAN EMPIRE,IN,0,2,0,0,2,Elder
28,manna_1_2,IN,18,1,2,0,21,Elder
29,jonpai,OUT,20,72,2,2,96,Elder
30,Dewan,IN,1,0,0,0,1,Elder
31,gautam,IN,54,52,6,3,124,Elder
32,NeptuneDiver,IN,2,12,0,0,14,Elder
33,weeb commander,OUT,0,0,1,1,1,Elder
34,raful,IN,14,24,1,0,39,Elder
35,Gówthâm Røñáldò,IN,12,24,0,0,36,Elder
36,Tarak,IN,4,21,1,1,26,Elder
37,Flix-Flop,IN,9,23,1,0,33,Elder
38,Nayan,IN,0,24,1,0,25,Elder
39,JEFFREY☠️,IN,5,24,1,0,30,Elder
40,*..flow..*,IN,0,12,1,0,13,Elder
41,AllNaMundy,OUT,4,15,1,0,20,Elder
42,Oluf,IN,3,18,0,0,21,Elder
43,fail_org,IN,89,197,8,7,342,Elder
44,MALAY,IN,13,12,3,1,28,Elder
