srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,429,437,25,5,991,Leader
2,Chief,IN,10,0,1,0,11,Elder
3,Ballistaaa,IN,148,218,7,5,401,Elder
4,emnil007,IN,185,241,22,8,602,Co-leader
5,Eleiken,IN,313,290,17,1,620,Co-leader
6,LordHoodAs,IN,85,147,2,0,234,Elder
7,arggggggah,IN,5,406,11,0,422,Elder
8,GOD OF UNDEAD,IN,4,197,2,0,203,Elder
9,devil recite,IN,58,220,10,0,288,Elder
10,Noob3,IN,0,0,4,0,4,Elder
11,Yash,IN,5,322,8,0,335,Elder
12,lolilabo,IN,53,124,3,0,180,Elder
13,VSL_SMIT...√,OUT,36,170,5,4,226,Elder
14,Joyotri,IN,57,203,8,3,284,Elder
15,kking,IN,152,244,6,3,414,Elder
16,jenoslegod,IN,37,5,1,0,43,Elder
17,carlitos,IN,36,0,0,0,36,Elder
18,MASTER SARVESH,IN,51,55,8,0,114,Elder
19,MrSwaxs,IN,0,15,0,0,15,Elder
20,arshul,IN,47,237,3,0,287,Elder
21,kindstonge17,OUT,39,269,15,9,443,Elder
22,™KingShid™^^,OUT,0,12,0,0,12,Elder
23,manna_1_2,IN,19,1,2,0,22,Elder
24,jonpai,OUT,48,120,4,4,184,Elder
25,Dewan,IN,1,0,0,0,1,Elder
26,gautam,IN,54,58,7,3,133,Elder
27,weeb commander,OUT,0,12,3,3,21,Elder
28,raful,IN,26,54,2,0,82,Elder
29,Gówthâm Røñáldò,IN,18,40,0,0,58,Elder
30,Tarak,IN,13,32,1,1,46,Elder
31,Flix-Flop,IN,24,71,2,0,97,Elder
32,Nayan,IN,1,36,2,1,39,Elder
33,*..flow..*,IN,3,27,2,0,32,Elder
34,AllNaMundy,OUT,21,60,3,2,87,Elder
35,Oluf,IN,5,35,0,0,40,Elder
36,fail_org,IN,110,239,10,8,429,Elder
37,Bennie,IN,4,42,1,0,47,Elder
38,2ndprototype,IN,2,23,2,0,27,Elder
39,Rider_22,IN,7,43,2,1,52,Elder
