srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,610,721,36,8,1619,Leader
2,Chief,IN,10,0,5,0,15,Elder
3,emnil007,IN,193,259,22,8,628,Co-leader
4,Eleiken,IN,383,404,24,3,859,Co-leader
5,arggggggah,IN,5,616,11,0,632,Elder
6,Noob3,IN,0,0,4,0,4,Elder
7,Yash,IN,5,457,8,0,470,Elder
8,Joyotri,IN,154,458,16,9,756,Elder
9,kking,IN,152,250,6,3,420,Elder
10,kindstonge17,IN,161,539,25,19,1175,Elder
11,Dewan,IN,6,3,5,2,19,Elder
12,gautam,IN,59,112,10,3,201,Elder
13,raful,IN,74,127,3,0,204,Elder
14,2ndprototype,IN,30,162,7,0,199,Elder
15,Rider_22,IN,135,267,11,6,468,Co-leader
16,DmonOP,IN,3,6,1,0,10,Elder
17,Grandpa1,IN,124,227,9,9,432,Elder
18,mare,IN,32,54,2,0,88,Elder
19,lord tuskiee,IN,13,87,4,1,104,Elder
20,JIREN,IN,35,84,4,1,123,Elder
21,may thae,IN,6,50,3,2,62,Elder
