srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,317,277,18,5,684,Leader
2,Chief,IN,10,0,1,0,11,Elder
3,Ballistaaa,IN,143,218,7,5,396,Elder
4,emnil007,IN,161,190,17,8,487,Co-leader
5,Eleiken,IN,237,206,12,1,455,Co-leader
6,LordHoodAs,IN,26,41,1,0,68,Elder
7,arggggggah,IN,5,241,8,0,254,Elder
8,GOD OF UNDEAD,IN,4,120,2,0,126,Elder
9,devil recite,IN,52,202,10,0,264,Elder
10,Noob3,IN,0,0,3,0,3,Elder
11,Yash,IN,3,202,8,0,213,Elder
12,Uncle Hope,IN,149,0,8,5,189,Elder
13,madsjeet,IN,132,222,10,10,454,Elder
14,lolilabo,IN,53,124,3,0,180,Elder
15,TheBluePurge,IN,42,0,3,1,45,Elder
16,Born to be King,IN,64,102,4,4,182,Elder
17,maviphi,IN,36,101,3,0,140,Elder
18,VSL_SMIT...√,IN,20,102,4,3,134,Elder
19,iMojamed,OUT,0,0,0,0,0,Elder
20,Max,IN,34,123,5,2,167,Elder
21,jacob,IN,112,138,6,5,280,Elder
22,gautam,IN,54,46,5,3,115,Elder
23,Izzmanelham,IN,47,104,1,0,152,Elder
24,Joyotri,IN,45,127,6,3,190,Elder
25,.Nêmmlm.,IN,68,100,6,4,192,Elder
26,fail_org,IN,78,161,7,7,288,Elder
27,Díjú bháí,IN,76,133,5,1,214,Elder
28,MALAY,IN,13,12,3,1,28,Elder
29,kking,IN,70,144,5,3,229,Elder
30,jenoslegod,IN,28,5,1,0,34,Elder
31,pнanтoм,IN,19,19,0,0,38,Elder
32,rydoly,OUT,0,114,4,1,118,Elder
33,carlitos,IN,31,0,0,0,31,Elder
34,junmel,IN,0,30,1,0,31,Elder
35,Obsidian Matrix,IN,19,30,1,0,50,Elder
36,MASTER SARVESH,IN,47,49,8,0,104,Elder
37,KRUNAL,IN,12,30,1,1,43,Elder
38,INVECTUS,IN,0,23,0,0,23,Elder
39,Zeroed,IN,9,6,1,0,16,Elder
40,stressball,IN,11,18,1,0,30,Elder
41,MrSwaxs,IN,0,11,0,0,11,Elder
42,THAISENATOR,IN,8,18,1,1,27,Elder
43,DärkMatter,IN,8,17,1,1,26,Elder
44,arshul,IN,2,135,3,0,140,Elder
45,Rafael,IN,47,58,5,5,130,Elder
46,crazydog clashs,IN,4,0,0,0,4,Elder
