srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,698,841,41,8,1588,Leader
2,Chief,IN,10,0,6,0,16,Elder
3,emnil007,IN,193,259,22,8,482,Co-leader
4,Eleiken,IN,407,458,26,3,894,Co-leader
5,arggggggah,IN,5,626,11,0,642,Elder
6,Noob3,IN,0,0,4,0,4,Elder
7,Yash,IN,5,473,8,0,486,Elder
8,kking,IN,152,250,6,3,411,Elder
9,kindstonge17,IN,228,634,30,20,912,Elder
10,Dewan,IN,17,5,10,3,35,Elder
11,gautam,IN,61,129,10,3,203,Elder
12,raful,IN,74,127,3,0,204,Elder
13,Rider_22,IN,176,333,15,7,531,Co-leader
14,Grandpa1,IN,207,345,14,14,580,Elder
15,mare,IN,37,60,2,0,99,Elder
16,JIREN,IN,48,130,6,2,186,Elder
17,Joyotri,IN,209,559,20,12,800,Elder
18,Rafael,IN,75,111,7,6,199,Elder
19,GOD OF UNDEAD,IN,6,227,3,0,236,Elder
