srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,441,467,26,5,1038,Leader
2,Chief,IN,10,0,1,0,11,Elder
3,Ballistaaa,IN,151,224,7,5,410,Elder
4,emnil007,IN,185,247,22,8,608,Co-leader
5,Eleiken,IN,314,296,17,1,627,Co-leader
6,LordHoodAs,IN,89,166,2,0,257,Elder
7,arggggggah,IN,5,429,11,0,445,Elder
8,GOD OF UNDEAD,IN,4,197,2,0,203,Elder
9,devil recite,IN,58,220,10,0,288,Elder
10,Noob3,IN,0,0,4,0,4,Elder
11,Yash,IN,5,340,8,0,353,Elder
12,lolilabo,IN,53,124,3,0,180,Elder
13,Joyotri,IN,57,228,9,4,321,Elder
14,kking,IN,152,244,6,3,414,Elder
15,jenoslegod,IN,37,5,1,0,43,Elder
16,carlitos,IN,36,0,0,0,36,Elder
17,MASTER SARVESH,IN,51,55,9,0,115,Elder
18,MrSwaxs,IN,0,15,0,0,15,Elder
19,arshul,IN,47,237,3,0,287,Elder
20,kindstonge17,OUT,45,301,16,10,506,Elder
21,™KingShid™^^,OUT,0,12,0,0,12,Elder
22,manna_1_2,IN,19,1,2,0,22,Elder
23,jonpai,OUT,65,150,5,5,240,Elder
24,Dewan,IN,1,0,1,1,2,Elder
25,gautam,IN,54,58,7,3,133,Elder
26,weeb commander,OUT,0,24,4,3,36,Elder
27,raful,IN,39,84,2,0,125,Elder
28,Gówthâm Røñáldò,IN,18,40,0,0,58,Elder
29,Tarak,IN,13,32,1,1,46,Elder
30,Flix-Flop,IN,24,82,2,0,108,Elder
31,Nayan,IN,1,42,2,1,45,Elder
32,*..flow..*,IN,3,48,3,0,54,Elder
33,AllNaMundy,OUT,33,90,4,3,135,Elder
34,Oluf,IN,5,35,0,0,40,Elder
35,fail_org,IN,121,268,11,9,488,Elder
36,Bennie,IN,10,69,1,0,80,Elder
37,2ndprototype,IN,5,41,3,0,49,Elder
38,Rider_22,IN,18,71,2,1,91,Elder
39,sura,IN,6,11,0,0,17,Elder
40,may thae,IN,2,6,0,0,8,Elder
