srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,680,817,40,8,1817,Leader
2,Chief,IN,10,0,6,0,16,Elder
3,emnil007,IN,193,259,22,8,628,Co-leader
4,Eleiken,IN,405,458,25,3,938,Co-leader
5,arggggggah,IN,5,626,11,0,642,Elder
6,Noob3,IN,0,0,4,0,4,Elder
7,Yash,IN,5,473,8,0,486,Elder
8,kking,IN,152,250,6,3,420,Elder
9,kindstonge17,IN,212,617,29,20,1409,Elder
10,Dewan,IN,17,5,9,3,49,Elder
11,gautam,IN,61,129,10,3,220,Elder
12,raful,IN,74,127,3,0,204,Elder
13,Rider_22,IN,166,317,15,7,588,Co-leader
14,Grandpa1,IN,189,321,13,13,679,Elder
15,mare,IN,37,60,2,0,99,Elder
16,JIREN,IN,37,106,5,2,153,Elder
17,Joyotri,IN,193,535,19,12,956,Elder
18,Rafael,IN,63,87,6,6,186,Elder
