srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,575,667,34,8,1514,Leader
2,Chief,IN,10,0,3,0,13,Elder
3,emnil007,IN,191,259,22,8,626,Co-leader
4,Eleiken,IN,377,392,23,3,838,Co-leader
5,arggggggah,IN,5,584,11,0,600,Elder
6,Noob3,IN,0,0,4,0,4,Elder
7,Yash,IN,5,446,8,0,459,Elder
8,Joyotri,IN,128,405,14,7,631,Elder
9,kking,IN,152,250,6,3,420,Elder
10,kindstonge17,IN,125,493,24,18,1050,Elder
11,Dewan,IN,3,3,3,1,9,Elder
12,gautam,IN,55,82,9,3,164,Elder
13,raful,IN,74,127,3,0,204,Elder
14,Flix-Flop,IN,24,85,2,0,111,Elder
15,*..flow..*,IN,4,77,4,1,85,Elder
16,2ndprototype,IN,30,156,7,0,193,Elder
17,Rider_22,IN,116,228,10,6,404,Elder
18,DmonOP,IN,3,6,1,0,10,Elder
19,Grandpa1,IN,89,173,7,7,311,Elder
20,™KingShid™^^,IN,2,47,2,0,51,Elder
21,mare,IN,24,30,1,0,55,Elder
22,lord tuskiee,IN,13,81,4,1,98,Elder
23,JIREN,IN,24,57,4,1,85,Elder
24,SPARSH☆,IN,0,6,1,1,7,Elder
25,MALAY,IN,15,12,3,1,30,Elder
26,may thae,IN,6,50,3,2,62,Elder
