srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,365,355,21,5,825,Leader
2,Chief,IN,10,0,1,0,11,Elder
3,Ballistaaa,IN,144,218,7,5,397,Elder
4,emnil007,IN,175,218,19,8,545,Co-leader
5,Eleiken,IN,277,266,15,1,558,Co-leader
6,LordHoodAs,IN,68,110,2,0,180,Elder
7,arggggggah,IN,5,307,9,0,321,Elder
8,GOD OF UNDEAD,IN,4,138,2,0,144,Elder
9,devil recite,IN,52,202,10,0,264,Elder
10,Noob3,IN,0,0,4,0,4,Elder
11,Yash,IN,5,250,8,0,263,Elder
12,Uncle Hope,IN,167,0,8,5,207,Elder
13,madsjeet,IN,170,282,12,11,584,Elder
14,lolilabo,IN,53,124,3,0,180,Elder
15,Born to be King,IN,64,108,4,4,188,Elder
16,VSL_SMIT...√,OUT,26,138,5,4,184,Elder
17,Max,IN,34,123,5,2,167,Elder
18,jacob,IN,112,138,6,5,280,Elder
19,Izzmanelham,IN,47,104,1,0,152,Elder
20,Joyotri,IN,49,157,6,3,224,Elder
21,.Nêmmlm.,IN,68,100,6,4,192,Elder
22,kking,IN,112,191,6,3,321,Elder
23,jenoslegod,IN,37,5,1,0,43,Elder
24,carlitos,IN,34,0,0,0,34,Elder
25,MASTER SARVESH,IN,51,55,8,0,114,Elder
26,stressball,IN,44,83,3,0,130,Elder
27,MrSwaxs,IN,0,15,0,0,15,Elder
28,THAISENATOR,IN,16,54,2,1,72,Elder
29,arshul,IN,28,207,3,0,238,Elder
30,Raj,IN,1,50,3,2,57,Elder
31,kindstonge17,OUT,17,169,11,6,252,Elder
32,hersun,OUT,0,1,0,0,1,Elder
33,Rajibl,IN,19,30,0,0,49,Elder
34,ark316,IN,6,31,2,0,39,Elder
35,phil_mcraken,IN,5,35,0,0,40,Elder
36,DIKSHANT,IN,0,1,0,0,1,Elder
37,™KingShid™^^,OUT,0,12,0,0,12,Elder
38,ROMAN EMPIRE,IN,0,1,0,0,1,Elder
39,manna_1_2,IN,2,0,1,0,3,Elder
40,jonpai,OUT,0,24,1,1,25,Elder
41,Dewan,IN,1,0,0,0,1,Elder
42,JAGGU BHAI,IN,2,7,1,0,10,Elder
43,gautam,IN,54,52,6,3,124,Elder
