srno,name,war,warattack,clancapital,clangames,clangamesmaxed,clanscore,status
1,KAI HIWATARI,IN,350,331,20,5,781,Leader
2,Chief,IN,10,0,1,0,11,Elder
3,Ballistaaa,IN,144,218,7,5,397,Elder
4,emnil007,IN,172,206,18,8,522,Co-leader
5,Eleiken,IN,260,248,14,1,522,Co-leader
6,LordHoodAs,IN,58,88,1,0,147,Elder
7,arggggggah,IN,5,283,8,0,296,Elder
8,GOD OF UNDEAD,IN,4,126,2,0,132,Elder
9,devil recite,IN,52,202,10,0,264,Elder
10,Noob3,IN,0,0,4,0,4,Elder
11,Yash,IN,3,232,8,0,243,Elder
12,Uncle Hope,IN,165,0,8,5,205,Elder
13,madsjeet,IN,153,264,11,10,527,Elder
14,lolilabo,IN,53,124,3,0,180,Elder
15,Born to be King,IN,64,102,4,4,182,Elder
16,maviphi,IN,36,101,3,0,140,Elder
17,VSL_SMIT...√,OUT,24,114,5,4,158,Elder
18,Max,IN,34,123,5,2,167,Elder
19,jacob,IN,112,138,6,5,280,Elder
20,Izzmanelham,IN,47,104,1,0,152,Elder
21,Joyotri,IN,49,145,6,3,212,Elder
22,.Nêmmlm.,IN,68,100,6,4,192,Elder
23,kking,IN,102,180,5,3,297,Elder
24,jenoslegod,IN,31,5,1,0,37,Elder
25,rydoly,OUT,0,150,5,2,160,Elder
26,carlitos,IN,34,0,0,0,34,Elder
27,MASTER SARVESH,IN,47,49,8,0,104,Elder
28,stressball,IN,35,65,3,0,103,Elder
29,MrSwaxs,IN,0,15,0,0,15,Elder
30,THAISENATOR,IN,16,54,2,1,72,Elder
31,arshul,IN,16,183,3,0,202,Elder
32,Raj,IN,1,32,2,1,35,Elder
33,kindstonge17,OUT,6,145,10,5,201,Elder
