Srno,Name,War,War Attack,Clan Capital,Clan Games,Clan Games Maxed,Clan Score,Status
1,KAI HIWATARI,IN,296,247,17,5,628,Leader
2,Chief,IN,10,0,1,0,11,Elder
3,Ballistaaa,IN,130,200,7,5,365,Elder
4,emnil007,IN,145,164,16,8,437,Co-leader
5,Eleiken,IN,231,188,12,1,431,Co-leader
6,LordHoodAs,IN,18,23,1,0,42,Elder
7,arggggggah,IN,5,217,7,0,229,Elder
8,GOD OF UNDEAD,IN,4,102,2,0,108,Elder
9,devil recite,IN,44,193,10,0,247,Elder
10,jai hind,IN,91,217,12,11,440,Elder
11,Noob3,IN,0,0,3,0,3,Elder
12,Yash,IN,3,196,8,0,207,Elder
13,Uncle Hope,IN,130,0,7,5,165,Elder
14,madsjeet,IN,114,192,9,9,387,Elder
15,lolilabo,IN,53,118,3,0,174,Elder
16,TheBluePurge,IN,42,0,3,1,45,Elder
17,Born to be King,IN,64,102,4,4,182,Elder
18,maviphi,IN,36,101,3,0,140,Elder
19,VSL_SMIT...√,IN,20,90,4,3,122,Elder
20,iMojamed,OUT,0,0,0,0,0,Elder
21,Max,IN,34,123,5,2,167,Elder
22,jacob,IN,112,138,6,5,280,Elder
23,gautam,IN,54,46,5,3,115,Elder
24,Izzmanelham,IN,47,104,1,0,152,Elder
25,Joyotri,IN,43,121,6,3,182,Elder
26,.Nêmmlm.,IN,68,100,6,4,192,Elder
27,fail_org,IN,61,131,6,6,228,Elder
28,Díjú bháí,IN,68,121,4,0,193,Elder
29,MALAY,IN,13,12,3,1,28,Elder
30,kking,IN,52,116,5,3,183,Elder
31,jenoslegod,IN,28,5,1,0,34,Elder
32,pнanтoм,IN,19,19,0,0,38,Elder
33,rydoly,OUT,0,90,3,1,93,Elder
34,carlitos,IN,28,0,0,0,28,Elder
35,junmel,IN,0,24,1,0,25,Elder
36,KING,IN,5,9,1,0,15,Elder
37,Obsidian Matrix,IN,19,30,1,0,50,Elder
38,MASTER SARVESH,IN,47,49,8,0,104,Elder
39,KRUNAL,IN,0,0,0,0,0,Elder
