warattack,clancapital,clangames,clangamesmaxed,active
25,36,2,0,high
0,0,0,0,inactive
25,24,2,1,substantial
9,18,2,1,average
17,30,2,0,substantial
4,6,0,0,inactive
0,33,0,0,average
0,6,0,0,inactive
14,28,2,0,substantial
3,34,2,2,substantial
0,0,1,0,inactive
0,24,0,0,average
22,0,2,1,average
19,24,2,2,substantial
0,3,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
9,24,1,1,average
0,0,0,0,inactive
4,15,1,0,low
22,36,2,1,substantial
0,6,0,0,inactive
3,11,0,0,low
9,30,2,1,substantial
3,12,2,1,low
22,36,2,2,substantial
21,34,2,0,substantial
0,0,0,0,inactive
16,34,2,1,substantial
2,0,0,0,inactive
2,0,0,0,inactive
0,36,2,1,average
6,0,0,0,inactive
0,6,1,0,inactive
3,5,1,0,inactive
6,6,0,0,low
15,30,1,0,substantial
21,30,1,0,substantial
0,0,0,0,inactive
13,18,0,0,average
16,26,1,0,substantial
6,18,0,0,average
8,18,0,0,average
0,24,1,0,average
0,18,0,0,low
8,9,0,0,low
0,0,0,0,inactive
0,6,0,0,inactive
19,0,1,0,low
18,30,1,1,substantial
0,6,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,12,0,0,low
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
2,6,0,0,inactive
0,0,0,0,inactive
17,30,1,1,substantial
8,12,1,1,low
0,0,0,0,inactive
18,28,0,0,substantial
0,0,0,0,inactive
0,0,0,0,inactive
0,24,1,0,average
3,0,0,0,inactive
0,6,0,0,inactive
0,0,0,0,inactive
0,0,0,0,inactive
12,30,1,1,substantial
