name,warattack,clancapital,clangames,clangamesmaxed
KAI HIWATARI,19,24,1,0
Chief,0,0,0,0
Ballistaaa,0,0,0,0
emnil007,0,0,0,0
Eleiken,5,12,0,0
LordHoodAs,1,0,0,0
arggggggah,0,24,0,0
GOD OF UNDEAD,0,0,0,0
devil recite,0,0,0,0
Noob3,0,0,0,0
Yash,0,12,0,0
lolilabo,0,0,0,0
Joyotri,19,24,0,0
kking,0,0,0,0
jenoslegod,0,0,0,0
MASTER SARVESH,2,0,1,1
arshul,0,0,0,0
kindstonge17,7,24,1,1
manna_1_2,1,0,0,0
jonpai,0,0,0,0
Dewan,0,1,1,0
gautam,0,0,0,0
weeb commander,0,0,0,0
raful,8,14,0,0
Gówthâm Røñáldò,0,0,0,0
Flix-Flop,0,0,0,0
Nayan,0,6,0,0
*..flow..*,1,11,1,1
AllNaMundy,6,13,0,0
Bennie,8,14,0,0
2ndprototype,8,24,1,0
Rider_22,14,18,1,0
may thae,0,18,1,1
Born to be King,8,24,1,1
