name,warattack,clancapital,clangames,clangamesmaxed
KAI HIWATARI,17,30,1,0
Chief,0,0,1,0
emnil007,0,0,0,0
Eleiken,8,0,1,0
arggggggah,0,28,0,0
Noob3,0,0,0,0
Yash,0,12,0,0
Joyotri,10,24,1,0
kking,0,0,0,0
jenoslegod,0,0,0,0
MASTER SARVESH,0,0,0,0
kindstonge17,11,29,1,1
Dewan,2,0,0,0
gautam,1,6,1,0
raful,0,0,0,0
Flix-Flop,0,0,0,0
*..flow..*,0,0,0,0
AllNaMundy,0,0,0,0
Bennie,0,0,0,0
2ndprototype,0,18,1,0
Rider_22,16,28,1,0
may thae,0,0,0,0
Born to be King,0,0,0,0
DmonOP,0,0,0,0
Grandpa1,14,30,1,1
tấn lộc,0,0,0,0
™KingShid™^^,0,0,0,0
lord tuskiee,4,24,1,0
weeb commander,0,0,0,0
