name,warattack,clancapital,clangames,clangamesmaxed
KAI HIWATARI,0,0,0,0
Chief,0,0,0,0
Ballistaaa,0,0,0,0
emnil007,0,0,0,0
Eleiken,0,0,0,0
LordHoodAs,0,0,0,0
arggggggah,0,0,0,0
GOD OF UNDEAD,0,0,0,0
devil recite,0,0,0,0
Noob3,0,0,0,0
Yash,0,0,0,0
lolilabo,0,0,0,0
VSL_SMIT...√,0,0,0,0
Joyotri,0,0,0,0
kking,0,0,0,0
jenoslegod,0,0,0,0
carlitos,0,0,0,0
MASTER SARVESH,0,0,0,0
MrSwaxs,0,0,0,0
arshul,0,0,0,0
Raj,0,0,0,0
kindstonge17,0,0,0,0
Rajibl,0,0,0,0
ark316,0,0,0,0
phil_mcraken,0,0,0,0
™KingShid™^^,0,0,0,0
ROMAN EMPIRE,0,0,0,0
manna_1_2,0,0,0,0
jonpai,0,0,0,0
Dewan,0,0,0,0
gautam,0,0,0,0
NeptuneDiver,0,0,0,0
weeb commander,0,0,0,0
raful,0,0,0,0
Gówthâm Røñáldò,0,0,0,0
Tarak,0,0,0,0
Flix-Flop,0,0,0,0
Nayan,0,0,0,0
JEFFREY☠️,0,0,0,0
*..flow..*,0,0,0,0
AllNaMundy,0,0,0,0
Oluf,0,0,0,0
fail_org,0,0,0,0
MALAY,0,0,0,0
