name,warattack,clancapital,clangames,clangamesmaxed
KAI HIWATARI,12,30,1,0
Chief,0,0,0,0
Ballistaaa,3,6,0,0
emnil007,0,6,0,0
Eleiken,1,6,0,0
LordHoodAs,4,19,0,0
arggggggah,0,23,0,0
GOD OF UNDEAD,0,0,0,0
devil recite,0,0,0,0
Noob3,0,0,0,0
Yash,0,18,0,0
lolilabo,0,0,0,0
Joyotri,0,25,1,1
kking,0,0,0,0
jenoslegod,0,0,0,0
carlitos,0,0,0,0
MASTER SARVESH,0,0,1,0
MrSwaxs,0,0,0,0
arshul,0,0,0,0
kindstonge17,6,32,1,1
™KingShid™^^,0,0,0,0
manna_1_2,0,0,0,0
jonpai,17,30,1,1
Dewan,0,0,1,1
gautam,0,0,0,0
weeb commander,0,12,1,0
raful,13,30,0,0
Gówthâm Røñáldò,0,0,0,0
Tarak,0,0,0,0
Flix-Flop,0,11,0,0
Nayan,0,6,0,0
*..flow..*,0,21,1,0
AllNaMundy,12,30,1,1
Oluf,0,0,0,0
fail_org,11,29,1,1
Bennie,6,27,0,0
2ndprototype,3,18,1,0
Rider_22,11,28,1,1
