name,warattack,clancapital,clangames,clangamesmaxed
KAI HIWATARI,15,24,1,0
Chief,0,0,0,0
Ballistaaa,4,0,0,0
emnil007,3,0,0,0
Eleiken,6,6,0,0
LordHoodAs,2,0,0,0
arggggggah,0,24,1,0
GOD OF UNDEAD,0,6,0,0
devil recite,0,0,0,0
Noob3,0,0,0,0
Yash,0,18,0,0
lolilabo,0,0,0,0
VSL_SMIT...√,0,0,0,0
Joyotri,3,6,1,0
kking,6,6,0,0
jenoslegod,0,0,0,0
carlitos,2,0,0,0
MASTER SARVESH,0,0,0,0
MrSwaxs,0,0,0,0
arshul,0,0,0,0
kindstonge17,0,24,1,1
™KingShid™^^,0,0,0,0
manna_1_2,1,0,0,0
jonpai,17,24,1,1
Dewan,0,0,0,0
gautam,0,6,1,0
weeb commander,0,6,1,1
raful,5,11,1,0
Gówthâm Røñáldò,0,4,0,0
Tarak,0,0,0,0
Flix-Flop,6,24,0,0
Nayan,1,6,1,1
*..flow..*,0,8,0,0
AllNaMundy,6,21,1,1
Oluf,0,0,0,0
fail_org,7,18,1,0
Bennie,0,24,1,0
2ndprototype,0,17,1,0
Rider_22,5,24,1,1
