name,warattack,clancapital,clangames,clangamesmaxed
KAI HIWATARI,17,24,1,0
Chief,0,0,0,0
Ballistaaa,1,0,0,0
emnil007,7,12,1,0
Eleiken,6,12,1,0
LordHoodAs,16,18,0,0
arggggggah,0,18,0,0
GOD OF UNDEAD,0,6,0,0
devil recite,0,0,0,0
Noob3,0,0,1,0
Yash,0,18,0,0
Uncle Hope,11,0,0,0
madsjeet,11,18,0,0
lolilabo,0,0,0,0
TheBluePurge,0,0,0,0
Born to be King,0,0,0,0
maviphi,0,0,0,0
VSL_SMIT...√,4,12,1,1
iMojamed,0,0,0,0
Max,0,0,0,0
jacob,0,0,0,0
gautam,0,0,0,0
Izzmanelham,0,0,0,0
Joyotri,0,6,0,0
.Nêmmlm.,0,0,0,0
Díjú bháí,15,23,1,1
MALAY,0,0,0,0
kking,15,18,0,0
jenoslegod,0,0,0,0
pнanтoм,0,0,0,0
rydoly,0,24,1,1
carlitos,3,0,0,0
junmel,0,0,0,0
Obsidian Matrix,0,0,0,0
MASTER SARVESH,0,0,0,0
INVECTUS,0,0,0,0
Zeroed,2,0,0,0
stressball,14,24,1,0
MrSwaxs,0,4,0,0
THAISENATOR,8,24,1,0
DärkMatter,1,6,0,0
arshul,3,18,0,0
crazydog clashs,0,0,0,0
