name,warattack,clancapital,clangames,clangamesmaxed
KAI HIWATARI,21,30,1,0
Chief,0,0,0,0
Ballistaaa,13,18,0,0
emnil007,16,26,1,0
Eleiken,6,18,0,0
LordHoodAs,8,18,0,0
arggggggah,0,24,1,0
GOD OF UNDEAD,0,18,0,0
devil recite,8,9,0,0
Noob3,0,0,0,0
Yash,0,6,0,0
Uncle Hope,19,0,1,0
madsjeet,18,30,1,1
lolilabo,0,6,0,0
TheBluePurge,0,0,0,0
Born to be King,0,0,0,0
maviphi,0,0,0,0
VSL_SMIT...√,0,12,0,0
iMojamed,0,0,0,0
Max,0,0,0,0
jacob,0,0,0,0
gautam,0,0,0,0
Izzmanelham,0,0,0,0
Joyotri,2,6,0,0
.Nêmmlm.,0,0,0,0
fail_org,17,30,1,1
Díjú bháí,8,12,1,1
MALAY,0,0,0,0
kking,18,28,0,0
jenoslegod,0,0,0,0
pнanтoм,0,0,0,0
rydoly,0,24,1,0
carlitos,3,0,0,0
junmel,0,6,0,0
Obsidian Matrix,0,0,0,0
MASTER SARVESH,0,0,0,0
KRUNAL,12,30,1,1
