name,warattack,clancapital,clangames,clangamesmaxed
KAI HIWATARI,19,24,1,0
Chief,0,0,0,0
Ballistaaa,0,0,0,0
emnil007,0,0,0,0
Eleiken,4,12,1,0
LordHoodAs,2,0,0,0
arggggggah,0,21,0,0
GOD OF UNDEAD,0,6,0,0
devil recite,0,0,0,0
Noob3,0,0,0,0
Yash,0,24,0,0
lolilabo,0,0,0,0
Joyotri,20,23,1,1
kking,0,0,0,0
jenoslegod,0,0,0,0
MASTER SARVESH,0,6,0,0
arshul,0,0,0,0
kindstonge17,10,23,1,1
manna_1_2,0,0,0,0
jonpai,14,17,0,0
Dewan,0,1,0,0
gautam,0,6,0,0
weeb commander,0,6,0,0
raful,17,18,1,0
Gówthâm Røñáldò,0,0,0,0
Flix-Flop,0,0,0,0
Nayan,0,12,0,0
*..flow..*,0,6,0,0
AllNaMundy,2,12,1,0
Bennie,12,20,0,0
2ndprototype,4,23,0,0
Rider_22,15,24,1,1
may thae,2,18,1,1
