name,warattack,clancapital,clangames,clangamesmaxed
KAI HIWATARI,17,26,1,1
Chief,0,0,0,0
Ballistaaa,0,0,0,0
emnil007,0,0,0,0
Eleiken,9,24,1,1
LordHoodAs,0,0,0,0
arggggggah,0,-11,0,0
GOD OF UNDEAD,0,0,0,0
devil recite,0,0,0,0
Noob3,0,0,0,0
Yash,0,17,0,0
lolilabo,0,0,0,0
Joyotri,4,23,0,0
kking,0,6,0,0
jenoslegod,0,0,0,0
MASTER SARVESH,1,6,0,0
arshul,0,0,0,0
kindstonge17,4,24,1,1
manna_1_2,0,0,0,0
jonpai,0,0,0,0
Dewan,0,0,0,0
gautam,0,0,0,0
weeb commander,0,0,0,0
raful,5,5,0,0
Gówthâm Røñáldò,0,0,0,0
Flix-Flop,0,0,0,0
Nayan,0,18,1,1
*..flow..*,0,12,0,0
AllNaMundy,2,3,0,0
Bennie,0,12,0,0
2ndprototype,10,23,1,0
Rider_22,5,6,1,0
may thae,2,6,1,0
Born to be King,12,29,1,1
oggy,0,18,1,1
DmonOP,0,0,0,0
plunderer,0,9,0,0
Grandpa1,16,30,1,1
