name,warattack,clancapital,clangames,clangamesmaxed
KAI HIWATARI,15,30,1,0
Chief,0,0,0,0
Ballistaaa,0,0,0,0
emnil007,0,6,1,0
Eleiken,8,0,1,0
LordHoodAs,8,9,0,0
arggggggah,0,30,0,0
GOD OF UNDEAD,0,24,0,0
devil recite,6,18,0,0
Noob3,0,0,0,0
Yash,0,12,0,0
lolilabo,0,0,0,0
VSL_SMIT...√,0,8,0,0
Joyotri,3,26,1,0
kking,13,23,0,0
jenoslegod,0,0,0,0
carlitos,0,0,0,0
MASTER SARVESH,0,0,0,0
MrSwaxs,0,0,0,0
arshul,0,6,0,0
Raj,0,11,0,0
kindstonge17,9,29,1,1
Rajibl,7,17,0,0
ark316,0,26,1,0
phil_mcraken,0,2,0,0
™KingShid™^^,0,0,0,0
ROMAN EMPIRE,0,1,0,0
manna_1_2,2,1,0,0
jonpai,6,30,1,1
Dewan,0,0,0,0
gautam,0,0,0,0
NeptuneDiver,0,0,0,0
