name,warattack,clancapital,clangames,clangamesmaxed
KAI HIWATARI,16,4,1,0
Chief,0,0,0,0
Ballistaaa,0,0,0,0
emnil007,3,5,1,0
Eleiken,15,18,1,0
LordHoodAs,6,22,0,0
arggggggah,0,23,1,0
GOD OF UNDEAD,0,11,0,0
devil recite,0,0,0,0
Noob3,0,0,0,0
Yash,0,18,0,0
Uncle Hope,0,0,0,0
madsjeet,14,24,0,0
lolilabo,0,0,0,0
Born to be King,0,0,0,0
VSL_SMIT...√,10,18,0,0
Max,0,0,0,0
jacob,0,0,0,0
Joyotri,0,12,0,0
.Nêmmlm.,0,0,0,0
kking,14,24,0,0
jenoslegod,0,0,0,0
carlitos,0,0,0,0
MASTER SARVESH,0,0,0,0
stressball,0,0,0,0
MrSwaxs,0,0,0,0
THAISENATOR,0,0,0,0
arshul,19,24,0,0
Raj,0,16,0,0
kindstonge17,13,23,1,0
Rajibl,6,18,0,0
ark316,1,18,0,0
phil_mcraken,0,17,0,0
™KingShid™^^,0,0,0,0
ROMAN EMPIRE,0,0,0,0
manna_1_2,14,0,1,0
jonpai,14,18,0,0
Dewan,0,0,0,0
JAGGU BHAI,0,5,0,0
gautam,0,0,0,0
