name,warattack,clancapital,clangames,clangamesmaxed
KAI HIWATARI,15,24,1,0
Chief,0,0,0,0
Ballistaaa,0,0,0,0
emnil007,3,12,1,0
Eleiken,17,18,1,0
LordHoodAs,10,22,1,0
arggggggah,0,24,1,0
GOD OF UNDEAD,0,12,0,0
devil recite,0,0,0,0
Noob3,0,0,0,0
Yash,2,18,0,0
Uncle Hope,2,0,0,0
madsjeet,17,18,1,1
lolilabo,0,0,0,0
Born to be King,0,6,0,0
VSL_SMIT...√,2,24,0,0
Max,0,0,0,0
jacob,0,0,0,0
Izzmanelham,0,0,0,0
Joyotri,0,12,0,0
.Nêmmlm.,0,0,0,0
kking,10,11,1,0
jenoslegod,6,0,0,0
carlitos,0,0,0,0
MASTER SARVESH,4,6,0,0
stressball,9,18,0,0
MrSwaxs,0,0,0,0
THAISENATOR,0,0,0,0
arshul,12,24,0,0
Raj,0,18,1,1
kindstonge17,11,24,1,1
