name,clanscore
KAI HIWATARI,1086
Ballistaaa,410
emnil007,608
Eleiken,644
LordHoodAs,259
arggggggah,466
GOD OF UNDEAD,209
devil recite,288
Yash,377
lolilabo,180
Joyotri,378
kking,414
MASTER SARVESH,121
arshul,287
kindstonge17,566
jonpai,271
gautam,139
raful,161
Flix-Flop,108
AllNaMundy,152
Bennie,112
2ndprototype,76
Rider_22,134
Born to be King,188
kyaw_ein,78
Little8uddy,151
Trapsus,85
Admiral-V,202
GUDETAMA,138
Pixyy,147
MIT PATEL,181
兲 H⊘ʅ⊘ćäυ₴ҭ,104
jai hind,461
Rafael,150
Díjú bháí,269
maviphi,140
rydoly,160
Izzmanelham,152
Uncle Hope,207
madsjeet,622
Max,167
jacob,280
.Nêmmlm.,192
stressball,130
Raj,84
Rajibl,97
ark316,125
VSL_SMIT...√,226
fail_org,517
