name,clanscore
KAI HIWATARI,900
Ballistaaa,397
emnil007,575
Eleiken,601
LordHoodAs,225
arggggggah,375
GOD OF UNDEAD,179
devil recite,288
Yash,293
lolilabo,180
VSL_SMIT...√,220
Joyotri,268
kking,395
MASTER SARVESH,114
arshul,287
Raj,84
kindstonge17,351
Rajibl,97
ark316,85
jonpai,96
gautam,124
fail_org,342
kyaw_ein,78
Little8uddy,151
Trapsus,85
Admiral-V,202
GUDETAMA,138
Pixyy,147
MIT PATEL,181
兲 H⊘ʅ⊘ćäυ₴ҭ,104
jai hind,461
Rafael,150
Díjú bháí,269
maviphi,140
rydoly,160
Izzmanelham,152
Uncle Hope,207
madsjeet,622
Born to be King,188
Max,167
jacob,280
.Nêmmlm.,192
stressball,130
