name,clanscore
KAI HIWATARI,991
Ballistaaa,401
emnil007,602
Eleiken,620
LordHoodAs,234
arggggggah,422
GOD OF UNDEAD,203
devil recite,288
Yash,335
lolilabo,180
VSL_SMIT...√,226
Joyotri,284
kking,414
MASTER SARVESH,114
arshul,287
kindstonge17,443
jonpai,184
gautam,133
raful,82
Flix-Flop,97
AllNaMundy,87
fail_org,429
kyaw_ein,78
Little8uddy,151
Trapsus,85
Admiral-V,202
GUDETAMA,138
Pixyy,147
MIT PATEL,181
兲 H⊘ʅ⊘ćäυ₴ҭ,104
jai hind,461
Rafael,150
Díjú bháí,269
maviphi,140
rydoly,160
Izzmanelham,152
Uncle Hope,207
madsjeet,622
Born to be King,188
Max,167
jacob,280
.Nêmmlm.,192
stressball,130
Raj,84
Rajibl,97
ark316,125
