name,clanscore
KAI HIWATARI,947
Ballistaaa,397
emnil007,599
Eleiken,608
LordHoodAs,232
arggggggah,397
GOD OF UNDEAD,197
devil recite,288
Yash,317
lolilabo,180
VSL_SMIT...√,226
Joyotri,272
kking,402
MASTER SARVESH,114
arshul,287
Raj,84
kindstonge17,396
Rajibl,97
ark316,106
jonpai,136
gautam,124
fail_org,396
kyaw_ein,78
Little8uddy,151
Trapsus,85
Admiral-V,202
GUDETAMA,138
Pixyy,147
MIT PATEL,181
兲 H⊘ʅ⊘ćäυ₴ҭ,104
jai hind,461
Rafael,150
Díjú bháí,269
maviphi,140
rydoly,160
Izzmanelham,152
Uncle Hope,207
madsjeet,622
Born to be King,188
Max,167
jacob,280
.Nêmmlm.,192
stressball,130
