name,clanscore
KAI HIWATARI,684
Ballistaaa,396
emnil007,487
Eleiken,455
arggggggah,254
GOD OF UNDEAD,126
devil recite,264
Yash,213
Uncle Hope,189
madsjeet,454
lolilabo,180
Born to be King,182
maviphi,140
VSL_SMIT...√,134
Max,167
jacob,280
gautam,115
Izzmanelham,152
Joyotri,190
.Nêmmlm.,192
fail_org,288
Díjú bháí,214
kking,229
rydoly,118
MASTER SARVESH,104
arshul,140
Rafael,130
kyaw_ein,78
kindstonge17,126
Little8uddy,151
Trapsus,85
Admiral-V,202
GUDETAMA,138
Pixyy,147
MIT PATEL,181
兲 H⊘ʅ⊘ćäυ₴ҭ,104
jai hind,461
