name,clanscore
KAI HIWATARI,1211
Ballistaaa,410
emnil007,608
Eleiken,714
LordHoodAs,260
arggggggah,479
GOD OF UNDEAD,209
devil recite,288
Yash,406
lolilabo,180
Joyotri,448
kking,420
MASTER SARVESH,131
arshul,287
kindstonge17,685
jonpai,271
gautam,139
raful,193
Flix-Flop,108
Nayan,85
*..flow..*,85
AllNaMundy,176
Bennie,146
2ndprototype,143
Rider_22,181
Born to be King,281
kyaw_ein,78
Little8uddy,151
Trapsus,85
Admiral-V,202
GUDETAMA,138
Pixyy,147
MIT PATEL,181
兲 H⊘ʅ⊘ćäυ₴ҭ,104
jai hind,461
Rafael,150
Díjú bháí,269
maviphi,140
rydoly,160
Izzmanelham,152
Uncle Hope,207
madsjeet,622
Max,167
jacob,280
.Nêmmlm.,192
stressball,130
Raj,84
Rajibl,97
ark316,125
VSL_SMIT...√,226
fail_org,517
