name,clanscore
KAI HIWATARI,1038
Ballistaaa,410
emnil007,608
Eleiken,627
LordHoodAs,257
arggggggah,445
GOD OF UNDEAD,203
devil recite,288
Yash,353
lolilabo,180
Joyotri,321
kking,414
MASTER SARVESH,115
arshul,287
kindstonge17,506
jonpai,240
gautam,133
raful,125
Flix-Flop,108
AllNaMundy,135
fail_org,488
Bennie,80
Rider_22,89
kyaw_ein,78
Little8uddy,151
Trapsus,85
Admiral-V,202
GUDETAMA,138
Pixyy,147
MIT PATEL,181
兲 H⊘ʅ⊘ćäυ₴ҭ,104
jai hind,461
Rafael,150
Díjú bháí,269
maviphi,140
rydoly,160
Izzmanelham,152
Uncle Hope,207
madsjeet,622
Born to be King,188
Max,167
jacob,280
.Nêmmlm.,192
stressball,130
Raj,84
Rajibl,97
ark316,125
VSL_SMIT...√,226
