name,clanscore
KAI HIWATARI,1134
Ballistaaa,410
emnil007,608
Eleiken,661
LordHoodAs,260
arggggggah,490
GOD OF UNDEAD,209
devil recite,288
Yash,389
lolilabo,180
Joyotri,421
kking,414
MASTER SARVESH,124
arshul,287
kindstonge17,626
jonpai,271
gautam,139
raful,183
Flix-Flop,108
AllNaMundy,171
Bennie,134
2ndprototype,109
Rider_22,168
Born to be King,229
kyaw_ein,78
Little8uddy,151
Trapsus,85
Admiral-V,202
GUDETAMA,138
Pixyy,147
MIT PATEL,181
兲 H⊘ʅ⊘ćäυ₴ҭ,104
jai hind,461
Rafael,150
Díjú bháí,269
maviphi,140
rydoly,160
Izzmanelham,152
Uncle Hope,207
madsjeet,622
Max,167
jacob,280
.Nêmmlm.,192
stressball,130
Raj,84
Rajibl,97
ark316,125
VSL_SMIT...√,226
fail_org,517
