name,clanscore
KAI HIWATARI,850
Ballistaaa,397
emnil007,561
Eleiken,592
LordHoodAs,208
arggggggah,345
GOD OF UNDEAD,155
devil recite,264
Yash,281
Uncle Hope,207
madsjeet,622
lolilabo,180
Born to be King,188
VSL_SMIT...√,212
Max,167
jacob,280
Joyotri,236
.Nêmmlm.,192
kking,359
MASTER SARVESH,114
stressball,130
arshul,281
kindstonge17,294
gautam,124
kyaw_ein,78
Little8uddy,151
Trapsus,85
Admiral-V,202
GUDETAMA,138
Pixyy,147
MIT PATEL,181
兲 H⊘ʅ⊘ćäυ₴ҭ,104
jai hind,461
fail_org,314
Rafael,150
Díjú bháí,269
maviphi,140
rydoly,160
Izzmanelham,152
