name,clanscore
KAI HIWATARI,825
Ballistaaa,397
emnil007,545
Eleiken,558
LordHoodAs,180
arggggggah,321
GOD OF UNDEAD,144
devil recite,264
Yash,263
Uncle Hope,207
madsjeet,584
lolilabo,180
Born to be King,188
VSL_SMIT...√,184
Max,167
jacob,280
Izzmanelham,152
Joyotri,224
.Nêmmlm.,192
kking,321
MASTER SARVESH,114
stressball,130
arshul,238
kindstonge17,252
gautam,124
kyaw_ein,78
Little8uddy,151
Trapsus,85
Admiral-V,202
GUDETAMA,138
Pixyy,147
MIT PATEL,181
兲 H⊘ʅ⊘ćäυ₴ҭ,104
jai hind,461
fail_org,314
Rafael,150
Díjú bháí,269
maviphi,140
rydoly,160
