name,clanscore
KAI HIWATARI,781
Ballistaaa,397
emnil007,522
Eleiken,522
LordHoodAs,147
arggggggah,296
GOD OF UNDEAD,132
devil recite,264
Yash,243
Uncle Hope,205
madsjeet,527
lolilabo,180
Born to be King,182
maviphi,140
VSL_SMIT...√,158
Max,167
jacob,280
Izzmanelham,152
Joyotri,212
.Nêmmlm.,192
kking,297
rydoly,160
MASTER SARVESH,104
stressball,103
arshul,202
kindstonge17,201
kyaw_ein,78
Little8uddy,151
Trapsus,85
Admiral-V,202
GUDETAMA,138
Pixyy,147
MIT PATEL,181
兲 H⊘ʅ⊘ćäυ₴ҭ,104
jai hind,461
fail_org,314
Rafael,150
gautam,115
Díjú bháí,269
