Srno,Name,War,War Attack,Clan Capital,Clan Games,Clan Games Maxed,Clan Score,Status
1,KAI HIWATARI,IN,242,163,13,5,470,Leader
2,Chief,IN,10,0,1,0,11,Elder
3,+Little8uddy+,IN,49,86,4,4,151,Elder
4,Ballistaaa,IN,72,135,4,4,223,Elder
5,emnil007,IN,136,134,13,7,361,Co-leader
6,Trapsus,IN,41,19,10,0,70,Elder
7,Eleiken,IN,182,116,9,1,307,Co-leader
8,LordHoodAs,IN,12,14,1,0,27,Elder
9,arggggggah,IN,5,150,6,0,161,Elder
10,GOD OF UNDEAD,IN,4,80,2,0,86,Elder
11,devil recite,IN,24,127,6,0,157,Elder
12,jai hind,IN,86,137,8,8,287,Elder
13,arshul,IN,2,117,3,0,122,Elder
14,Rider_22,IN,2,7,0,0,9,Elder
15,Noob3,IN,0,0,2,0,2,Elder
16,Yash,IN,3,136,8,0,147,Elder
17,Admiral-V,IN,64,121,5,1,190,Elder
18,Ramshe,IN,1,27,0,0,28,Elder
19,Uncle Hope,IN,83,0,3,3,92,Elder
20,madsjeet,IN,61,126,5,5,212,Elder
21,lolilabo,IN,52,106,3,0,161,Elder
22,TheBluePurge,IN,42,0,2,1,44,Elder
23,Rafael,IN,28,28,4,4,72,Elder
24,GUDETAMA,IN,34,102,2,1,138,Elder
25,Born to be King,IN,53,87,3,3,149,Elder
26,maviphi,IN,34,89,3,0,126,Elder
27,VSL_SMIT...√,IN,3,42,1,1,46,Elder
28,akash,IN,0,18,0,0,18,Elder
29,Pixyy,IN,60,72,3,3,141,Elder
30,MIT PATEL,IN,56,54,2,2,114,Elder
31,Rapz,OUT,1,0,0,0,1,Elder
32,iMojamed,OUT,0,0,0,0,0,Elder
33,Max,IN,16,60,2,1,78,Elder
34,jacob,IN,56,60,2,2,120,Elder
35,兲 H⊘ʅ⊘ćäυ₴ҭ,IN,34,60,2,2,98,Elder
36,Schmidtyyy,IN,6,0,0,0,6,Elder
37,gautam,IN,54,40,5,3,109,Elder
38,Izzmanelham,IN,32,46,0,0,78,Elder
39,Joyotri,IN,29,53,2,2,86,Elder
40,.Nêmmlm.,IN,36,46,2,2,86,Elder
41,ash,IN,1,30,2,2,35,Elder
42,fail_org,IN,24,48,2,2,76,Elder
43,Díjú bháí,IN,33,46,1,0,80,Elder
44,MALAY,IN,13,12,3,1,28,Co-leader
45,John,IN,0,12,0,0,12,Elder
46,roan,IN,0,13,1,0,14,Elder
47,kking,IN,21,42,1,1,64,Elder
48,jenoslegod,IN,10,5,0,0,15,Elder
49,pнanтoм,IN,12,18,0,0,30,Elder
50,rydoly,OUT,0,6,0,0,6,Elder
