Srno,Name,War Attack,Clan Capital,Clan Games,Clan Games Maxed,Clan Score
1,KING SEENU,40,0,0,0,40
2,A_MIRAH,6,0,0,0,6
3,BONH,18,0,0,0,18
4,TVOY,22,2,0,0,24
5,SHARPZY,9,0,0,0,9
6,SAKLEN,4,7,2,0,13
7,KING SEENU2,5,0,0,0,5
8,BAJIRAV,1,0,0,0,1
9,DAMIAN,0,0,0,0,0
10,Mohammad Jeddi,6,0,1,0,7
11,spa ek,20,1,0,0,21
12,Deep,8,3,2,0,13
13,Hannah,0,9,1,0,10
14,Younes,0,1,0,0,1
15,paul,0,1,0,0,1
16,AR Rasel@,0,1,0,0,1
17,PRODIP,1,0,0,0,1
18,rilof,0,1,0,0,1
19,sb1010,0,1,0,0,1
20,Matt Ox,1,1,0,0,2
21,Janaka anuruddh,0,3,2,0,5
22,Tempete de feu,0,2,0,0,2
23,TIRTHA,0,3,0,0,3
24,podda2,1,2,0,0,3
25,Cat,0,1,0,0,1
26,griff,3,1,0,0,4
27,coc,5,2,0,0,7
28,ANSAAR75,5,6,4,2,19
29,TOFITA,25,11,4,0,40
30,Mdoge,2,2,2,0,6
31,abhi,0,3,0,0,3
32,erase,5,5,1,1,11
33,am.ak,1,7,1,0,9
34,SPARSH,0,2,0,0,2
35,Jaryn,7,2,0,0,9
36,Dr.Neuro,0,4,0,0,4
37,NdaHH_,1,0,0,0,1
38,Spider-Man,0,4,0,0,4
39,midouja,1,4,0,0,5
40,arthur,0,4,1,0,5
41,Rabrabyeojhan,1,1,0,0,2
42,Brenne's CAMP!,0,1,0,0,1
43,mb102006,0,1,0,0,1
44,real_Maty1255,0,0,0,0,0
45,yungaid,1,1,0,0,2
46,UILeMaNn,0,0,0,0,0
47,Pentium,0,0,1,1,1
48,panda,0,0,1,1,1
49,sreeram.k.y,1,7,2,1,10
50,Kebab,0,0,0,0,0
51,MASTER SARVESH,32,13,7,0,52
52,NIKHIL,20,6,1,1,27
53,taghonski,27,16,4,3,55
54,kyaw_ein,73,0,5,0,78
55,karthi,54,10,4,1,68
56,RK79,59,5,3,0,67
57,thank God,3,18,1,0,22
58,Abhi624,11,15,2,1,28
59,itZDeniz1,0,4,0,0,4
60,moiochoa04,0,1,0,0,1
61,evil_dancer,0,7,4,0,11
62,Flare,2,6,0,0,8
63,ligma,1,4,0,0,5
64,Kay M,34,22,3,3,65
65,john cena,1,6,0,0,7
66,ApE_Re@L#22,13,0,0,0,13
67,Mimi7,12,8,1,1,21
68,EivindReus,2,0,1,0,3
69,Oscar,7,18,0,0,25
70,AJ,0,0,0,0,0
71,Connor,9,18,0,0,27
72,mr.lemo,0,0,0,0,0
73,:Pro@:,18,13,1,0,32
74,Mar€lyn,2,1,1,0,4
75,lNeedHealing,0,6,0,0,6
76,its a smurf,0,0,0,0,0
77,hockeypro,0,0,0,0,0
78,PlumpToast,0,15,1,0,16
79,VRK,31,12,6,3,61
80,SidHeart02,19,0,0,0,19
81,Taghonski,0,19,6,0,25
82,the boss,0,0,1,0,1
83,NeptuneDiver,2,12,0,0,14
84,Rahul,0,0,0,0,0
85,levelost,0,0,0,0,0
86,rocking utkarsh,0,0,0,0,0
87,/\//\,8,18,1,0,27
88,^-^Bea^-^,0,6,1,0,7
89,lost my main,0,0,1,0,1
90,kindstonge17,4,98,8,3,126
91,TarikulRider,0,0,0,0,0
92,pro pleyer to,2,14,0,0,16
93,Hekskva,3,12,0,0,15
94,Simon,0,0,0,0,0
95,Laza,0,0,0,0,0
96,JensM4A4,0,6,0,0,6
97,LUKAS,0,0,0,0,0
98,xXEskiPeskiXx,7,0,0,0,7
99,DiknBaus,8,4,2,0,14
100,Xbowskill,4,59,6,0,69
101,akash,0,18,0,0,18
102,arshul,2,117,3,0,122
103,Rider_22,2,7,0,0,9
104,Rapz,1,0,0,0,1
105,ash,1,30,2,2,35
106,John,0,12,0,0,12
